Region,Zone,Reef,Site,Transect,Apex,ApexSR,Tpred,TpredSR,Ntpred,NtpredSR,Mherb,MherbSR,Tgraz,TgrazSR,Coral,Macro,Turf,CCA,Rubble,Algae,All_Benthos,%Macro,%Turf
Swains,B,21-500,30,115,2.695976773,1.641942987,4,2,3,1.732050808,32,5.656854249,26,5.099019514,26,0,24,10,40,24,100,0,0.24
Swains,B,21-500,30,116,2.695976773,1.641942987,4,2,6,2.449489743,55,7.416198487,28,5.291502622,21,0,27,7,45,27,100,0,0.27
Swains,B,21-500,30,117,2.695976773,1.641942987,3,1.732050808,10,3.16227766,43,6.557438524,38,6.164414003,24,0,33,17,26,33,100,0,0.33
Swains,B,21-500,30,118,2.695976773,1.641942987,13,3.605551275,23,4.795831523,87,9.327379053,27,5.196152423,20,0,17,16,46,17,99,0,0.171717172
Swains,B,21-500,31,119,2.695976773,1.641942987,2,1.414213562,1,1,15,3.872983346,29,5.385164807,22,0,31,18,29,31,100,0,0.31
Swains,B,21-500,31,120,2.695976773,1.641942987,2,1.414213562,1,1,31,5.567764363,38,6.164414003,29,0,36,13,22,36,100,0,0.36
Swains,B,21-500,31,121,2.695976773,1.641942987,1,1,1,1,26,5.099019514,30,5.477225575,21,0,24,14,40,24,99,0,0.242424242
Swains,B,21-500,31,122,2.695976773,1.641942987,4,2,1,1,28,5.291502622,22,4.69041576,14,0,42,3,41,42,100,0,0.42
Swains,P,Frigate,32,123,6.054131054,2.460514388,12,3.464101615,6,2.449489743,69,8.306623863,20,4.472135955,70,0,30,0,0,30,100,0,0.3
Swains,P,Frigate,32,124,6.054131054,2.460514388,12,3.464101615,7,2.645751311,69,8.306623863,27,5.196152423,82,0,18,0,0,18,100,0,0.18
Swains,P,Frigate,32,125,6.054131054,2.460514388,10,3.16227766,6,2.449489743,25,5,13,3.605551275,67,0,25,1,5,25,98,0,0.255102041
Swains,P,Frigate,32,126,6.054131054,2.460514388,15,3.872983346,4,2,19,4.358898944,16,4,60,0,23,0,14,23,97,0,0.237113402
Swains,P,Frigate,33,127,6.054131054,2.460514388,4,2,10,3.16227766,46,6.782329983,13,3.605551275,65,0,28,0,5,28,98,0,0.285714286
Swains,P,Frigate,33,129,6.054131054,2.460514388,9,3,10,3.16227766,37,6.08276253,37,6.08276253,52,0,32,2,6,32,92,0,0.347826087
Swains,P,Frigate,33,130,6.054131054,2.460514388,4,2,6,2.449489743,58,7.615773106,43,6.557438524,27,0,56,0,17,56,100,0,0.56
Swains,P,Frigate,34,131,6.054131054,2.460514388,7,2.645751311,1,1,22,4.69041576,3,1.732050808,13,0,43,2,40,43,98,0,0.43877551
